year,month,wind_mean,precip_mm_mean,precip_mmh_mean,rh_mean,tair_k_mean,qair_kgkg_mean,lwnet_wm2_mean,soilm_surface_kgm2_mean,soilm_total_kgm2_mean,wind_anom_mean,precip_anom_mean,rh_anom_mean,qair_anom_mean,tair_anom_mean,lwnet_anom_mean,soilm_surface_anom_mean,fire_detections
2004,6,5.9588847,159.40546,0.22139648,57.4279,300.35806,0.014153881,-77.28862,27.284729,616.5275,0.42341843,-0.068338834,1.3951488,1.9085766e-05,-0.522424,-0.20902744,-0.09336365,103
2004,7,5.407014,239.68887,0.32216245,68.84782,298.91187,0.015692784,-60.772022,32.006535,676.8659,-0.2668648,-35.215084,-2.7846508,-0.0007330572,0.0041013304,-4.119985,-1.5726386,15
2004,8,5.7901425,237.81189,0.3196396,76.17868,297.8427,0.016544696,-52.06444,35.344387,745.9269,0.58946776,-18.32835,0.2532862,-8.960391e-05,-0.23735346,-0.9041049,-0.6556821,8
2004,9,3.9481368,143.30733,0.19903795,68.171745,297.63617,0.014661338,-60.236687,33.31239,739.36456,-0.32276914,-36.959206,-3.9990847,-0.000665485,0.20743853,-3.9635024,-2.397146,16
2004,10,3.45926,80.72332,0.108499095,59.750706,295.1588,0.011190131,-73.14237,31.991646,727.6807,-0.029008813,1.2109915,0.37522197,-0.00043073398,-0.8004715,0.410292,-0.042844366,70
2004,11,3.4992826,18.93957,0.026304958,47.35112,293.07553,0.007828993,-89.10724,25.33193,669.4574,-0.13502994,-5.967737,-4.733673,-0.00076152605,0.17689547,-3.6374295,-1.47676,189
2004,12,3.8691347,4.5574613,0.00612562,43.407795,290.5487,0.0061340122,-96.960915,20.8914,623.8909,-0.0050472533,-4.946165,-3.753391,-0.00044120403,0.5328627,-4.2938485,-1.6308054,448
2005,1,4.0448923,16.408024,0.022053795,46.029247,289.02606,0.006018486,-92.69706,20.01289,594.1371,0.02705169,3.8735933,2.350829,0.0002861766,-0.080220886,3.8184803,-0.71222675,710
2005,2,4.5030746,16.611485,0.024719473,43.010265,291.64636,0.006368371,-99.18435,20.886522,577.0043,0.28837872,1.1756237,3.6698132,0.00044345693,-0.2843466,3.9182036,0.8042537,3587
2005,3,4.243725,28.830898,0.038751207,39.251934,296.3909,0.007541902,-105.597046,19.990946,562.3761,-0.015325894,7.8019433,4.0253286,0.0009010755,0.2697633,5.1254354,0.68261456,7444
2005,4,4.318708,38.94663,0.05409254,34.17415,299.23422,0.00763674,-113.134674,20.455929,560.76776,-0.16274801,2.1924033,-0.9821976,-0.00051575206,-0.795995,-0.8737439,0.004139601,7538
2005,5,4.743961,53.75808,0.072255485,38.790356,301.39575,0.009678486,-107.089134,21.523388,565.6544,-0.33855182,-7.9782906,-1.4237959,-0.00079872896,-0.59159297,-3.0578563,-0.30347317,1365
2005,6,5.5188837,123.788795,0.1719289,48.861122,302.04276,0.012978312,-86.42769,25.054195,584.3302,-0.016582226,-35.684994,-7.1716266,-0.0011564821,1.1622912,-9.348095,-2.3238926,818
2005,7,5.7269297,313.40503,0.42124334,74.13489,298.5534,0.016706416,-54.378773,34.31509,687.58356,0.053050622,38.501083,2.5024269,0.0002805762,-0.35437727,2.273265,0.73591775,7
2005,8,5.326608,200.83492,0.2699394,73.483574,298.25784,0.016203914,-55.576057,34.631706,751.19574,0.12593293,-55.305313,-2.4418159,-0.0004303864,0.17773303,-4.4157214,-1.3683612,6
2005,9,4.673252,197.80319,0.27472666,72.51199,297.6709,0.015660051,-54.687794,35.776608,763.98193,0.4023466,17.536654,0.34116313,0.00033322847,0.24217907,1.585388,0.06707058,12
2005,10,3.5547345,115.14075,0.15475906,60.853,295.69354,0.011799251,-73.20284,32.260685,740.71027,0.06646578,35.628407,1.4775125,0.00017838475,-0.26578066,0.3498242,0.22619203,27
2005,11,3.5748649,26.104515,0.036256272,47.840603,292.04788,0.0074349414,-92.138275,27.375868,704.587,-0.059447803,1.1972065,-4.244193,-0.0011555782,-0.8506966,-6.668479,0.56717557,165
2005,12,3.7477286,9.809149,0.01318434,42.88641,289.5386,0.005976533,-96.28279,22.962473,657.5934,-0.12645313,0.3055214,-4.274773,-0.00059868256,-0.4772313,-3.6157146,0.4402685,591
2006,1,4.1984687,10.202515,0.013713057,39.76662,289.47736,0.0052185166,-100.45622,20.775944,620.6715,0.18062842,-2.3319154,-3.9118028,-0.00051379297,0.37107408,-3.9406824,0.05082675,1342
2006,2,3.9609897,9.917416,0.014758059,33.230724,294.42307,0.005447831,-110.72177,18.954666,589.07776,-0.2537064,-5.518446,-6.10973,-0.0004770835,2.4923687,-7.619221,-1.127606,4121
2006,3,4.0342026,24.814568,0.03335291,38.246494,295.42007,0.0072091483,-106.30764,20.30633,573.9874,-0.22484781,3.7856112,3.0198884,0.00056832226,-0.7010716,4.4148493,0.9979968,16378
2006,4,4.349871,34.836693,0.048384294,33.65878,299.8016,0.007862546,-114.775986,20.090145,568.1775,-0.13158461,-1.9175334,-1.4975669,-0.0002899464,-0.22859813,-2.5150638,-0.36164623,3808
2006,5,4.91668,74.61479,0.100288704,43.16584,302.0112,0.011487366,-98.913025,22.195164,572.1042,-0.16583312,12.878424,2.9516902,0.0010101512,0.023865316,5.1182504,0.36830044,978
2006,6,4.9728866,165.39062,0.22970921,57.24659,300.19495,0.014048736,-76.70282,27.717983,618.955,-0.56257915,5.9168334,1.2138453,-8.6057975e-05,-0.6855225,0.3767771,0.33989567,111
2006,7,6.2422833,269.83145,0.36267674,72.35115,298.86725,0.016585214,-56.076893,33.403435,698.6838,0.5684044,-5.0724683,0.71868545,0.00015937281,-0.040551536,0.5751418,-0.17573805,35
2006,8,5.870946,263.47873,0.3541381,77.29077,297.78864,0.016603664,-49.93144,36.10719,765.0223,0.67027116,7.3385296,1.3653812,-3.063477e-05,-0.2914642,1.2289,0.10711869,18
2006,9,4.22849,181.85957,0.25258273,72.35285,297.38818,0.015340169,-56.383835,35.800114,769.2592,-0.042415757,1.5930352,0.18202102,1.3345591e-05,-0.04050363,-0.11065449,0.090577625,10
2006,10,3.4408338,60.912872,0.081872135,59.257168,296.29904,0.011850272,-73.511765,31.290535,726.6289,-0.047435135,-18.599457,-0.11831597,0.00022940712,0.3397381,0.040900648,-0.7439549,57
2006,11,3.4428551,35.71028,0.049597614,56.053925,292.86584,0.009224946,-79.41467,27.502365,685.39105,-0.19145769,10.802974,3.96913,0.0006344269,-0.032768413,6.055137,0.69367176,69
2006,12,3.954047,7.8273773,0.010520669,49.21447,290.1156,0.0068971063,-91.61514,22.44572,642.0805,0.07986509,-1.6762493,2.053287,0.0003218901,0.099773355,1.051928,-0.076483205,314
2007,1,3.9582157,5.3034415,0.0071282815,37.54848,289.63647,0.0051528327,-102.82621,19.52055,606.4049,-0.05962483,-7.230989,-6.1299386,-0.0005794761,0.53019977,-6.310679,-1.2045659,1235
2007,2,4.120327,28.146887,0.04188525,45.6167,291.58762,0.006775862,-96.873955,21.140865,587.75543,-0.09436885,12.711023,6.2762485,0.00085094746,-0.34309685,6.228599,1.0585935,1965
2007,3,4.4264216,17.636396,0.023704836,37.4536,295.2515,0.0067858463,-111.13291,19.521141,571.6696,0.16737129,-3.392559,2.2269986,0.00014501986,-0.869667,-0.41041887,0.21281113,16841
2007,4,4.32654,38.389126,0.053318225,33.862885,300.75137,0.008202731,-116.643074,19.859905,567.8589,-0.15491599,1.6348984,-1.2934626,5.023901e-05,0.72115576,-4.382155,-0.591888,5994
2007,5,4.863228,58.69649,0.07889314,40.829384,302.0013,0.010712794,-103.81675,21.272532,572.4927,-0.21928531,-3.039878,0.6152332,0.00023557802,0.013976007,0.21452194,-0.5543276,1331
2007,6,5.5303025,187.57222,0.260517,57.43983,300.92365,0.014704056,-73.517784,28.52243,610.1546,-0.005162956,28.098438,1.4070804,0.000569262,0.043168783,3.5618067,1.1443393,602
2007,7,5.6986327,286.83676,0.3855333,72.967026,298.7458,0.016620679,-56.43044,33.8875,700.33026,0.024753688,11.932817,1.3345668,0.00019483852,-0.1620238,0.22159618,0.30832848,23
2007,8,4.9827433,264.2535,0.35517943,76.21433,298.0941,0.016707879,-50.937637,36.46196,767.5261,-0.21793222,8.113281,0.28893608,7.3577605e-05,0.0139930295,0.22269762,0.46189258,13
2007,9,4.234853,218.6099,0.30362487,73.6013,297.48743,0.015669161,-52.972897,36.768497,789.16583,-0.036052696,38.343376,1.4304651,0.00034233683,0.058714613,3.3002837,1.0589601,6
2007,10,3.4739835,69.53896,0.09346635,54.692196,295.3335,0.01029418,-79.70427,31.935913,747.44086,-0.014285529,-9.973365,-4.683292,-0.0013266845,-0.62580514,-6.1516104,-0.09857729,122
2007,11,3.3506186,17.003048,0.023615345,49.08997,293.06696,0.00819289,-90.93734,26.96784,694.96533,-0.28369397,-7.9042583,-2.9948254,-0.0003976292,0.16832924,-5.4675426,0.15914848,541
2007,12,4.1352797,12.971605,0.017434953,46.888775,289.70096,0.006526502,-91.571754,22.40312,649.004,0.2610978,3.4679782,-0.27241,-4.87145e-05,-0.31489787,1.095322,-0.1190843,335
2008,1,4.331613,15.203809,0.020435229,42.407375,288.68167,0.005364995,-96.14389,20.466127,615.6324,0.3137726,2.6693797,-1.2710431,-0.00036731383,-0.42459524,0.3716433,-0.25898713,889
2008,2,4.1478143,10.30245,0.014802371,37.64517,290.2855,0.005337981,-106.29591,20.35459,591.6944,-0.06688223,-5.133412,-1.6952872,-0.00058693305,-1.6452146,-3.193363,0.2723184,1611
2008,3,3.90046,26.343794,0.03540833,34.50165,296.57843,0.006647383,-110.68999,19.176094,571.4286,-0.35859025,5.314839,-0.7249538,6.556333e-06,0.45727447,0.03250124,-0.13223565,8113
2008,4,4.2676067,31.528952,0.04379021,35.449875,299.39194,0.007981346,-114.28908,21.021936,571.5528,-0.2138497,-5.2252765,0.29352564,-0.00017114573,-0.638267,-2.0281496,0.570147,9319
2008,5,5.2629037,46.093014,0.061952975,40.279762,301.59195,0.010389868,-104.80427,20.502005,567.69836,0.1803906,-15.643357,0.06561153,-8.7345754e-05,-0.39538756,-0.77299064,-1.3248578,2681
2008,6,5.45019,195.27724,0.27121836,64.0625,299.54312,0.015311593,-66.326935,29.307152,616.00806,-0.085275866,35.80344,8.029749,0.001176799,-1.3373488,10.752665,1.9290628,66
2008,7,5.3185277,255.47931,0.34338614,73.50584,298.47382,0.016503526,-55.698704,33.691277,707.21515,-0.35535163,-19.424643,1.8733723,7.7685334e-05,-0.43396723,0.9533379,0.1121038,14
2008,8,4.982393,272.20996,0.3658736,77.77458,297.64752,0.016723992,-49.778652,37.005043,774.70483,-0.21828231,16.06975,1.8491862,8.969283e-05,-0.43259278,1.3816816,1.0049716,6
2008,9,4.1658635,168.03285,0.23337896,72.860115,297.01492,0.015233658,-57.56025,35.848587,779.58545,-0.105042055,-12.233684,0.6892796,-9.316389e-05,-0.4137986,-1.2870648,0.13904835,10
2008,10,3.2683349,57.340855,0.07707104,59.720474,295.99716,0.011722915,-76.17742,31.315315,732.7181,-0.21993425,-22.171474,0.34498784,0.000102050006,0.03783424,-2.6247509,-0.719175,79
2008,11,3.7257204,27.294964,0.037909675,51.540104,292.88855,0.008508753,-88.57152,25.64137,679.7509,0.091407925,2.3876612,-0.5446935,-8.17665e-05,-0.010030846,-3.1017172,-1.1673208,180
2008,12,3.584408,9.354902,0.012573795,50.146053,291.03406,0.0072876215,-87.94917,23.131998,647.117,-0.2897737,-0.14872274,2.9848702,0.000712405,1.018215,4.717896,0.609794,388
2009,1,3.9899092,15.054598,0.020234674,47.06944,290.28897,0.006472998,-92.32558,21.305265,614.187,-0.027931256,2.5201678,3.3910236,0.00074068835,1.1826868,4.189958,0.5801506,1114
2009,2,4.227816,11.5219555,0.017145766,35.644104,292.88794,0.0056021907,-108.971275,19.555044,585.364,0.013119705,-3.9139078,-3.6963513,-0.0003227234,0.957225,-5.868729,-0.5272263,6865
2009,3,4.1248555,18.046051,0.024255443,31.079813,296.69467,0.0059911082,-114.27977,18.710049,563.10565,-0.13419467,-2.9829054,-4.146791,-0.00064971845,0.57353085,-3.5572886,-0.598282,21353
2009,4,4.7050557,27.776926,0.03857906,30.870075,300.16022,0.007081823,-119.0963,20.026203,560.2889,0.22359987,-8.977302,-4.2862706,-0.0010706692,0.12997586,-6.8353677,-0.42558843,7795
2009,5,4.994114,63.305977,0.08508868,39.895447,301.99173,0.0104982,-103.231735,21.924335,564.44415,-0.08839904,1.569608,-0.31870276,2.0985211e-05,0.004368713,0.79953945,0.09747372,1777
2009,6,5.4467926,105.36246,0.14633675,49.48302,301.46774,0.012683388,-87.74706,24.788853,585.1124,-0.08867359,-54.111343,-6.549724,-0.0014514067,0.58723533,-10.667467,-2.5892372,799
2009,7,5.9967384,285.59717,0.3838671,69.27908,299.20667,0.016236499,-58.862083,33.194942,671.33044,0.32285956,10.69319,-2.3533802,-0.00018934345,0.2988842,-2.2100475,-0.38422945,37
2009,8,4.9840403,222.86322,0.29954734,71.86179,298.6265,0.01631907,-56.264713,32.71304,721.78284,-0.21663441,-33.27701,-4.0635996,-0.00031523072,0.5463852,-5.1043787,-3.2870336,21
2009,9,4.2922173,157.34914,0.21854046,69.10385,297.81662,0.015098665,-61.091038,34.69798,754.5584,0.021311533,-22.917402,-3.0669765,-0.00022815692,0.3879035,-4.817857,-1.0115609,19
2009,10,3.7884378,73.59852,0.09892274,55.234955,295.81674,0.010727031,-79.66718,30.495045,723.52814,0.30016872,-5.9138155,-4.1405277,-0.00089383556,-0.14254738,-6.114519,-1.539447,100
2009,11,3.7854202,41.497124,0.0576349,55.19651,292.61652,0.009084587,-81.04045,26.279766,672.6222,0.15110764,16.58982,3.1117153,0.00049406785,-0.2820587,4.429355,-0.52892506,86
2009,12,3.6457312,9.518529,0.012793722,50.45692,290.11658,0.0071539017,-86.480896,22.493315,639.0066,-0.2284504,0.01490289,3.2957377,0.00057868543,0.100745656,6.1861763,-0.028888782,189
2010,1,3.8440742,9.141833,0.012287411,41.297337,289.5174,0.0057038786,-98.99795,20.774517,608.4129,-0.17376627,-3.3925965,-2.3810802,-2.8430388e-05,0.41114056,-2.4824023,0.049400263,1028
2010,2,4.14509,16.636429,0.02475659,39.20506,292.1584,0.006003017,-100.519554,19.755526,582.95386,-0.06960603,1.200567,-0.1353951,7.81028e-05,0.2276531,2.5830045,-0.326745,2407
2010,3,4.453858,19.118977,0.025697548,30.6785,298.12247,0.00643144,-115.87281,18.740246,564.0405,0.19480734,-1.9099807,-4.5481033,-0.00020938614,2.0013442,-5.1503243,-0.56808484,20606
2010,4,4.8435526,41.261303,0.05730736,32.43634,301.54593,0.007914798,-115.43831,19.576653,563.0353,0.36209607,4.5070734,-2.720008,-0.0002376941,1.5157433,-3.1773932,-0.87513703,5817
2010,5,5.257326,73.980606,0.0994363,40.757427,302.48892,0.010749994,-101.89206,22.859335,577.948,0.1748133,12.244235,0.54327655,0.00027277792,0.5015497,2.13922,1.032473,804
2010,6,5.3946123,145.69455,0.20235352,53.67969,301.22467,0.01366276,-80.7796,26.64215,603.5352,-0.14085314,-13.779261,-2.3530552,-0.00047203506,0.3441791,-3.700005,-0.7359383,105
2010,7,5.236856,305.54117,0.4106736,72.7239,298.8691,0.016673842,-55.203407,34.620907,684.2838,-0.43702295,30.637205,1.0914416,0.00024800023,-0.038696557,1.4486272,1.041732,3
2010,8,4.5166025,309.7645,0.4163501,78.33597,298.09305,0.01716742,-47.34682,38.330112,779.8823,-0.6840722,53.624245,2.4105833,0.0005331185,0.01293728,3.8135138,2.3300438,3
2010,9,4.1591783,225.05637,0.31257826,76.16946,296.96536,0.015767992,-51.134377,38.740223,816.84265,-0.11172735,44.789814,3.9986236,0.00044116832,-0.46337414,5.138804,3.0306876,4
2010,10,3.6136272,85.64987,0.11512079,65.172844,295.87283,0.0128919305,-67.24159,33.901917,772.61755,0.12535797,6.137539,5.797362,0.001271065,-0.08648562,6.3110743,1.8674239,17
2010,11,3.4714766,52.90102,0.07347365,63.62721,293.16614,0.010957061,-70.50599,30.07915,734.012,-0.16283607,27.993717,11.542412,0.0023665421,0.26749536,14.96382,3.2704575,29
2010,12,3.6857803,15.681309,0.021077031,51.66406,289.1293,0.0070788427,-89.94654,24.939072,691.3716,-0.18840142,6.177684,4.502878,0.0005036265,-0.8865534,2.7205288,2.4168684,285
2011,1,4.025456,8.983452,0.012074532,44.07888,287.96878,0.00549486,-98.039406,21.882053,651.63824,0.007615451,-3.5509784,0.4004587,-0.00023744919,-1.1375066,-1.5238703,1.156937,669
2011,2,4.1496058,19.41428,0.028890297,43.452057,291.3568,0.0063606207,-98.65617,20.421555,617.50104,-0.06509031,3.9784162,4.111602,0.0004357063,-0.57390285,4.446376,0.33928353,1825
2011,3,4.4430776,16.83206,0.022623736,33.209553,296.12314,0.006202692,-114.52869,19.255846,592.27655,0.18402676,-4.1968975,-2.017051,-0.00043813413,0.001986747,-3.8061917,-0.05248708,13452
2011,4,4.0099487,42.29339,0.058740813,36.969425,298.89893,0.008287665,-106.55936,21.371107,583.4429,-0.47150755,5.5391564,1.8130791,0.00013517373,-1.1312838,5.7015715,0.9193163,4073
2011,5,4.9288416,59.570324,0.080067635,41.435844,302.04102,0.01100254,-100.747795,22.183525,587.48,-0.15367144,-2.166047,1.2216924,0.0005253247,0.05367963,3.2834847,0.35666302,1386
2011,6,5.9005094,166.3131,0.23099041,57.80257,300.54822,0.014504717,-74.81188,27.444624,621.1434,0.36504328,6.8392935,1.7698232,0.00036992235,-0.33224615,2.2677064,0.06653389,116
2011,7,5.3118625,274.29907,0.36868152,72.92493,298.51538,0.016413618,-55.453648,34.47199,709.5593,-0.36201677,-0.6048918,1.2924677,-1.22237e-05,-0.39242792,1.1983895,0.892812,4
2011,8,4.9173255,309.2538,0.4156637,77.46978,297.8371,0.016835738,-47.878742,37.834354,787.32684,-0.28334957,53.113567,1.5443841,0.00020143873,-0.24299146,3.2815907,1.8342845,2
2011,9,4.7051287,214.51733,0.29794076,76.88375,297.01288,0.016018035,-52.10721,37.944103,809.62103,0.434223,34.250805,4.7129183,0.00069121225,-0.4158375,4.165973,2.2345684,8
2011,10,3.2415946,49.901844,0.06707238,59.821903,295.84506,0.011727053,-73.57233,31.720156,746.5442,-0.24667445,-29.610483,0.44641557,0.00010618713,-0.1142273,-0.019654581,-0.31433666,67
